"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Mélonjosephite","Melonjosephite","Morocco"
"Menchettiite","Menchettiite","Peru"
"Mendeleevite-(Ce)","Mendeleevite-(Ce)","Tajikistan"
"Mendeleevite-(Nd)","Mendeleevite-(Nd)","Tajikistan"
"Mendigite","Mendigite","Germany"
"Mendipite","Mendipite","United Kingdom"
"Mendozavilite-KCa","Mendozavilite-KCa","Chile"
"Mendozavilite-NaCu","Mendozavilite-NaCu","Chile"
"Mendozavilite-NaFe","Mendozavilite-NaFe","Mexico"
"Mendozite","Mendozite","Argentina"
"Meneghinite","Meneghinite","Italy"
"Menezesite","Menezesite","Brazil"
"Mengeite","Mengeite","Australia"
"Mengxianminite","Mengxianminite","China"
"Meniaylovite","Meniaylovite","Russia"
"Menshikovite","Menshikovite","Russia"
"Menzerite-(Y)","Menzerite-(Y)","Canada"
"Mercallite","Mercallite","Italy"
"Mercury","Mercury","unknown"
"Mereheadite","Mereheadite","United Kingdom"
"Mereiterite","Mereiterite","Greece"
"Merelaniite","Merelaniite","Tanzania"
"Merenskyite","Merenskyite","South Africa"
"Meridianiite","Meridianiite","Canada"
"Merlinoite","Merlinoite","Italy"
"Merrihueite","Merrihueite","Romania"
"Merrillite","Merrillite","Italy (meteorite) / India (meteorite) / Poland (meteorite) / USA (meteorite)"
"Mertieite","Mertieite","USA"
"Merwinite","Merwinite","USA"
"Mesaite","Mesaite","USA"
"Mesolite","Mesolite","Iceland ?"
"Messelite","Messelite","Germany"
"Meta-aluminite","Meta-aluminite","USA"
"Meta-alunogen","Meta-alunogen","Chile"
"Meta-ankoleite","Meta-ankoleite","Uganda"
"Meta-autunite","Meta-autunite","USA"
"Metaborite","Metaborite","Kazakhstan"
"Metacalciouranoite","Metacalciouranoite","Russia"
"Metacinnabar","Metacinnabar","USA"
"Metadelrioite","Metadelrioite","USA"
"Metahaiweeite","Metahaiweeite","USA"
"Metaheinrichite","Metaheinrichite","USA / Germany"
"Metahewettite","Metahewettite","USA"
"Metahohmannite","Metahohmannite","Chile"
"Metakahlerite","Metakahlerite","Germany"
"Metakirchheimerite","Metakirchheimerite","Germany"
"Metaköttigite","Metakottigite","Mexico"
"Metalodèvite","Metalodevite","France"
"Metamunirite","Metamunirite","USA"
"Metanatroautunite","Metanatroautunite","Tajikistan"
"Metanováčekite","Metanovacekite","Germany"
"Metarauchite","Metarauchite","Czech Republic"
"Metarossite","Metarossite","USA"
"Metasaléeite","Metasaleeite","Democratic Republic of the Congo"
"Metaschoderite","Metaschoderite","USA"
"Metaschoepite","Metaschoepite","Democratic Republic of the Congo"
"Metasideronatrite","Metasideronatrite","Chile"
"Metastibnite","Metastibnite","USA"
"Metastudtite","Metastudtite","Democratic Republic of the Congo"
"Metaswitzerite","Metaswitzerite","USA"
"Metatamboite","Metatamboite","Chile"
"Metathénardite","Metathenardite","Russia"
"Metatorbernite","Metatorbernite","United Kingdom"
"Metatyuyamunite","Metatyuyamunite","USA"
"Metauramphite","Metauramphite","Russia"
"Metauranocircite","Metauranocircite","Germany"
"Metauranopilite","Metauranopilite","Czech Republic"
"Metauranospinite","Metauranospinite","Germany"
"Metauroxite","Metauroxite","USA"
"Metavandendriesscheite","Metavandendriesscheite","Democratic Republic of the Congo"
"Metavanmeersscheite","Metavanmeersscheite","Democratic Republic of the Congo"
"Metavanuralite","Metavanuralite","Gabon"
"Metavariscite","Metavariscite","USA"
"Metavauxite","Metavauxite","Bolivia"
"Metavivianite","Metavivianite","USA"
"Metavoltine","Metavoltine","Iran"
"Metazellerite","Metazellerite","USA"
"Metazeunerite","Metazeunerite","Germany"
"Meurigite-K","Meurigite-K","USA"
"Meurigite-Na","Meurigite-Na","USA"
"Meyerhofferite","Meyerhofferite","USA"
"Meymacite","Meymacite","France"
"Meyrowitzite","Meyrowitzite","USA"
"Mgriite","Mgriite","Germany"
"Mianningite","Mianningite","China"
"Miargyrite","Miargyrite","Germany"
"Miassite","Miassite","Russia"
"Michalskiite","Michalskiite","Germany"
"Micheelsenite","Micheelsenite","Denmark (Greenland)"
"Michenerite","Michenerite","Canada"
"Michitoshiite-(Cu)","Michitoshiite-(Cu)","Japan"
"Microcline","Microcline","Norway"
"Microsommite","Microsommite","Italy"
"Middendorfite","Middendorfite","Russia"
"Middlebackite","Middlebackite","Australia"
"Mieite-(Y)","Mieite-(Y)","Japan"
"Miersite","Miersite","Australia"
"Miessiite","Miessiite","Finland"
"Miguelromeroite","Miguelromeroite","Mexico"
"Miharaite","Miharaite","Japan"
"Mikasaite","Mikasaite","Japan"
"Mikecoxite","Mikecoxite","USA"
"Mikehowardite","Mikehowardite","USA"
"Mikenewite","Mikenewite","Mexico"
"Milanriederite","Milanriederite","Namibia"
"Milarite","Milarite","Switzerland"
"Milkovoite","Milkovoite","Russia"
"Millerite","Millerite","Czech Republic"
"Millisite","Millisite","USA"
"Millosevichite","Millosevichite","Italy"
"Millsite","Millsite","Norway"
"Milotaite","Milotaite","Czech Republic"
"Mimetite","Mimetite","Germany"
"Minakawaite","Minakawaite","Japan"
"Minasragrite","Minasragrite","Peru"
"Mineevite-(Y)","Mineevite-(Y)","Russia"
"Minehillite","Minehillite","USA"
"Minguzzite","Minguzzite","Italy"
"Minium","Minium","Germany"
"Minjiangite","Minjiangite","China"
"Minnesotaite","Minnesotaite","USA"
"Minohlite","Minohlite","Japan"
"Minrecordite","Minrecordite","Namibia"
"Minyulite","Minyulite","Australia"
"Mirabilite","Mirabilite","unknown"
"Mirnyite","Mirnyite","Russia"
"Misakiite","Misakiite","Japan"
"Misenite","Misenite","Italy"
"Miserite","Miserite","USA"
"Mitridatite","Mitridatite","Ukraine"
"Mitrofanovite","Mitrofanovite","Russia"
"Mitryaevaite","Mitryaevaite","Kazakhstan"
"Mitscherlichite","Mitscherlichite","Italy"
"Mixite","Mixite","Czech Republic"
"Miyahisaite","Miyahisaite","Japan"
"Mizraite-(Ce)","Mizraite-(Ce)","Israel"
"Moabite","Moabite","Jordan"
"Moctezumite","Moctezumite","Mexico"
"Modderite","Modderite","South Africa"
"Moëloite","Moeloite","Italy"
"Mogánite","Moganite","Spain"
"Mogovidite","Mogovidite","Russia"
"Mohite","Mohite","Uzbekistan"
"Möhnite","Mohnite","Chile"
"Mohrite","Mohrite","Italy"
"Moissanite","Moissanite","USA (meteorite)"
"Mojaveite","Mojaveite","USA"
"Molinelloite","Molinelloite","Italy"
"Moluranite","Moluranite","Russia"
"Molybdenite","Molybdenite","unknown"
"Molybdite","Molybdite","Czech Republic"
"Molybdofornacite","Molybdofornacite","Namibia"
"Molybdomenite","Molybdomenite","Argentina"
"Molybdophyllite","Molybdophyllite","Sweden"
"Molysite","Molysite","Italy"
"Momoiite","Momoiite","Japan"
"Monazite-(Ce)","Monazite-(Ce)","Russia"
"Monazite-(Gd)","Monazite-(Gd)","Slovakia"
"Monazite-(La)","Monazite-(La)","Kazakhstan"
"Monazite-(Nd)","Monazite-(Nd)","Italy"
"Monazite-(Sm)","Monazite-(Sm)","Canada"
"Moncheite","Moncheite","Russia"
"Monchetundraite","Monchetundraite","Russia"
"Monetite","Monetite","Puerto Rico"
"Mongolite","Mongolite","Mongolia"
"Monimolite","Monimolite","Sweden"
"Monipite","Monipite","Mexico (meteorite)"
"Monohydrocalcite","Monohydrocalcite","Kyrgyzstan"
"Montanite","Montanite","USA"
"Montbrayite","Montbrayite","Canada"
"Montdorite","Montdorite","France"
"Montebrasite","Montebrasite","France"
"Monteneroite","Monteneroite","Italy"
"Monteneveite","Monteneveite","Italy"
"Monteponite","Monteponite","Italy"
"Monteregianite-(Y)","Monteregianite-(Y)","Canada"
"Montesommaite","Montesommaite","Italy"
"Montetrisaite","Montetrisaite","Italy"
"Montgomeryite","Montgomeryite","USA"
"Monticellite","Monticellite","Italy"
"Montmorillonite","Montmorillonite","France"
"Montpelvouxite","Montpelvouxite","France"
"Montroseite","Montroseite","USA"
"Montroyalite","Montroyalite","Canada"
"Montroydite","Montroydite","USA"
"Mooihoekite","Mooihoekite","South Africa"
"Moolooite","Moolooite","Australia"
"Mooreite","Mooreite","USA"
"Moorhouseite","Moorhouseite","Canada"
"Mopungite","Mopungite","USA"
"Moraesite","Moraesite","Brazil"
"Moraskoite","Moraskoite","Poland (meteorite)"
"Mordenite","Mordenite","Canada"
"Moreauite","Moreauite","Democratic Republic of the Congo"
"Morelandite","Morelandite","Sweden"
"Morenosite","Morenosite","Spain"
"Morimotoite","Morimotoite","Japan"
"Morinite","Morinite","France"
"Morozeviczite","Morozeviczite","Poland"
"Morrisonite","Morrisonite","USA"
"Mosandrite-(Ce)","Mosandrite-(Ce)","Norway"
"Moschelite","Moschelite","Germany"
"Moschellandsbergite","Moschellandsbergite","Germany"
"Mosesite","Mosesite","USA"
"Moskvinite-(Y)","Moskvinite-(Y)","Tajikistan"
"Mössbauerite","Mossbauerite","France"
"Mottanaite-(Ce)","Mottanaite-(Ce)","Italy"
"Mottramite","Mottramite","United Kingdom"
"Motukoreaite","Motukoreaite","New Zealand"
"Mounanaite","Mounanaite","Gabon"
"Mountainite","Mountainite","South Africa"
"Mountkeithite","Mountkeithite","Australia"
"Mourite","Mourite","Kazakhstan"
"Moxuanxueite","Moxuanxueite","China"
"Moydite-(Y)","Moydite-(Y)","Canada"
"Mozartite","Mozartite","Italy"
"Mozgovaite","Mozgovaite","Italy"
"Mpororoite","Mpororoite","Uganda"
"Mrázekite","Mrazekite","Slovakia"
"Mroseite","Mroseite","Mexico"
"Mückeite","Muckeite","Germany"
"Muirite","Muirite","USA"
"Mukhinite","Mukhinite","Russia"
"Müllerite","Mullerite","USA"
"Mullite","Mullite","United Kingdom"
"Mummeite","Mummeite","USA"
"Munakataite","Munakataite","Japan"
"Mundite","Mundite","Democratic Republic of the Congo"
"Mundrabillaite","Mundrabillaite","Australia"
"Munirite","Munirite","Pakistan"
"Muonionalustaite","Muonionalustaite","Sweden (meteorite)"
"Murakamiite","Murakamiite","Japan"
"Murashkoite","Murashkoite","Israel"
"Murataite-(Y)","Murataite-(Y)","USA"
"Murchisite","Murchisite","Australia (meteorite)"
"Murdochite","Murdochite","USA"
"Murmanite","Murmanite","Russia"
"Murphyite","Murphyite","USA"
"Murunskite","Murunskite","Russia"
"Muscovite","Muscovite","unknown"
"Museumite","Museumite","Romania"
"Mushistonite","Mushistonite","Tajikistan"
"Muskoxite","Muskoxite","Canada"
"Muthmannite","Muthmannite","Romania"
"Mutinaite","Mutinaite","Antarctica"
"Mutnovskite","Mutnovskite","Russia"
"Naalasite","Naalasite","Chile"
"Nabalamprophyllite","Nabalamprophyllite","Russia"
"Nabaphite","Nabaphite","Russia"
"Nabateaite","Nabateaite","Israel"
"Nabesite","Nabesite","Denmark (Greenland)"
"Nabiasite","Nabiasite","France"
"Nabimusaite","Nabimusaite","Palestine"
"Nabokoite","Nabokoite","Russia"
"Nacaphite","Nacaphite","Russia"
"Nacareniobsite-(Ce)","Nacareniobsite-(Ce)","Denmark (Greenland)"
"Nacareniobsite-(Y)","Nacareniobsite-(Y)","Tajikistan"
"Nacrite","Nacrite","Germany"
"Nadorite","Nadorite","Algeria"
"Nafeasite","Nafeasite","Chile"
"Nafertisite","Nafertisite","Russia"
"Nagashimalite","Nagashimalite","Japan"
"Nagelschmidtite","Nagelschmidtite","Israel"
"Nagyágite","Nagyagite","Romania"
"Nahcolite","Nahcolite","Italy"
"Nahpoite","Nahpoite","Canada"
"Nakauriite","Nakauriite","Japan"
"Nakkaalaaqite","Nakkaalaaqite","Denmark (Greenland)"
"Naldrettite","Naldrettite","Canada"
"Nalipoite","Nalipoite","Canada"
"Nalivkinite","Nalivkinite","Tajikistan"
"Namansilite","Namansilite","Russia"
"Nambulite","Nambulite","Japan"
"Namibite","Namibite","Namibia"
"Namuwite","Namuwite","United Kingdom"
"Nanlingite","Nanlingite","China"
"Nanpingite","Nanpingite","China"
"Nantokite","Nantokite","Chile"
"Napoliite","Napoliite","Italy"
"Naquite","Naquite","China"
"Narsarsukite","Narsarsukite","Denmark (Greenland)"
"Nashite","Nashite","USA"
"Nasinite","Nasinite","Italy"
"Nasledovite","Nasledovite","Tajikistan"
"Nasonite","Nasonite","USA"
"Nastrophite","Nastrophite","Russia"
"Nataliakulikite","Nataliakulikite","Israel"
"Nataliyamalikite","Nataliyamalikite","Russia"
"Natalyite","Natalyite","Russia"
"Natanite","Natanite","Tajikistan"
"Natisite","Natisite","Russia"
"Natrite","Natrite","Russia"
"Natroalunite","Natroalunite","USA"
"Natroaphthitalite","Natroaphthitalite","Russia"
"Natroboltwoodite","Natroboltwoodite","Kazakhstan"
"Natrochalcite","Natrochalcite","Chile"
"Natrodufrénite","Natrodufrenite","France"
"Natroglaucocerinite","Natroglaucocerinite","Greece"
"Natrojarosite","Natrojarosite","USA"
"Natrolemoynite","Natrolemoynite","Canada"
"Natrolite","Natrolite","Germany"
"Natromarkeyite","Natromarkeyite","USA"
"Natromolybdite","Natromolybdite","Russia"
"Natron","Natron","unknown"
"Natronambulite","Natronambulite","Japan"
"Natroniobite","Natroniobite","Russia"
"Natropalermoite","Natropalermoite","USA"
"Natropharmacoalumite","Natropharmacoalumite","Spain"
"Natropharmacosiderite","Natropharmacosiderite","Australia"
"Natrophilite","Natrophilite","USA"
"Natrophosphate","Natrophosphate","Russia"
"Natrosilite","Natrosilite","Russia"
"Natrosulfatourea","Natrosulfatourea","USA"
"Natrotantite","Natrotantite","Russia"
"Natrotitanite","Natrotitanite","Kazakhstan"
"Natrouranospinite","Natrouranospinite","Kazakhstan"
"Natrowalentaite","Natrowalentaite","Australia"
"Natroxalate","Natroxalate","Russia"
"Natrozippeite","Natrozippeite","USA"
"Naujakasite","Naujakasite","Denmark (Greenland)"
"Naumannite","Naumannite","Germany"
"Navajoite","Navajoite","USA"
"Navrotskyite","Navrotskyite","USA"
"Nazarchukite","Nazarchukite","Jordan"
"Nazarovite","Nazarovite","Israel / Russia (meteorite)"
"Nchwaningite","Nchwaningite","South Africa"
"Nealite","Nealite","Greece"
"Nechelyustovite","Nechelyustovite","Russia"
"Nefedovite","Nefedovite","Russia"
"Negevite","Negevite","Israel"
"Neighborite","Neighborite","USA"
"Nekoite","Nekoite","USA"
"Nekrasovite","Nekrasovite","Uzbekistan"
"Nelenite","Nelenite","USA"
"Neltnerite","Neltnerite","Morocco"
"Nenadkevichite","Nenadkevichite","Russia"
"Neotocite","Neotocite","Sweden"
"Nepheline","Nepheline","Italy"
"Népouite","Nepouite","France (New Caledonia)"
"Nepskoeite","Nepskoeite","Russia"
"Neptunite","Neptunite","Denmark (Greenland)"
"Neskevaaraite-Fe","Neskevaaraite-Fe","Russia"
"Nesquehonite","Nesquehonite","USA"
"Nestolaite","Nestolaite","USA"
"Neustädtelite","Neustadtelite","Germany"
"Nevadaite","Nevadaite","USA"
"Nevskite","Nevskite","Russia"
"Newberyite","Newberyite","Australia"
"Neyite","Neyite","Canada"
"Nežilovite","Nezilovite","North Macedonia"
"Niahite","Niahite","Malaysia"
"Niasite","Niasite","Germany"
"Nickel","Nickel","France (New Caledonia)"
"Nickelalumite","Nickelalumite","Kyrgyzstan"
"Nickelaustinite","Nickelaustinite","Morocco"
"Nickelbischofite","Nickelbischofite","Canada"
"Nickelblödite","Nickelblodite","Australia"
"Nickelboussingaultite","Nickelboussingaultite","Russia"
"Nickelhexahydrite","Nickelhexahydrite","Russia"
"Nickeline","Nickeline","unknown"
"Nickellotharmeyerite","Nickellotharmeyerite","Germany"
"Nickelphosphide","Nickelphosphide","USA (meteorite)"
"Nickelpicromerite","Nickelpicromerite","Russia"
"Nickelschneebergite","Nickelschneebergite","Germany"
"Nickelskutterudite","Nickelskutterudite","Germany"
"Nickeltalmessite","Nickeltalmessite","Morocco"
"Nickeltsumcorite","Nickeltsumcorite","Greece"
"Nickeltyrrellite","Nickeltyrrellite","Bolivia"
"Nickelzippeite","Nickelzippeite","Czech Republic"
"Nickenichite","Nickenichite","Germany"
"Nickolayite","Nickolayite","Jordan"
"Nicksobolevite","Nicksobolevite","Russia"
"Niedermayrite","Niedermayrite","Greece"
"Nielsbohrite","Nielsbohrite","Germany"
"Nielsenite","Nielsenite","Denmark (Greenland)"
"Nierite","Nierite","Azerbaijan (meteorite)"
"Nifontovite","Nifontovite","Russia"
"Niggliite","Niggliite","South Africa"
"Niigataite","Niigataite","Japan"
"Nikischerite","Nikischerite","Bolivia"
"Nikmelnikovite","Nikmelnikovite","Russia"
"Niksergievite","Niksergievite","Kazakhstan"
"Nimite","Nimite","South Africa"
"Ningyoite","Ningyoite","Japan"
"Niningerite","Niningerite","Azerbaijan (meteorite)"
"Nioboaeschynite-(Ce)","Nioboaeschynite-(Ce)","Russia"
"Nioboaeschynite-(Y)","Nioboaeschynite-(Y)","Canada"
"Niobocarbide","Niobocarbide","Russia"
"Nioboheftetjernite","Nioboheftetjernite","Madagascar"
"Nioboholtite","Nioboholtite","Poland"
"Nioboixiolite-(◻)","Nioboixiolite-([])","China"
"Nioboixiolite-(Mn<sup>2+</sup>)","Nioboixiolite-(Mn2+)","Russia"
"Niobokupletskite","Niobokupletskite","Canada"
"Niobophyllite","Niobophyllite","Canada"
"Niocalite","Niocalite","Canada"
"Nipalarsite","Nipalarsite","Russia"
"Nisbite","Nisbite","Canada"
"Nishanbaevite","Nishanbaevite","Russia"
"Nisnite","Nisnite","Canada"
"Nissonite","Nissonite","USA"
"Niter","Niter","unknown"
"Nitratine","Nitratine","Chile"
"Nitrobarite","Nitrobarite","Chile"
"Nitrocalcite","Nitrocalcite","USA"
"Nitromagnesite","Nitromagnesite","USA"
"Nitroplumbite","Nitroplumbite","USA"
"Nitscheite","Nitscheite","USA"
"Niveolanite","Niveolanite","Canada"
"Nixonite","Nixonite","Canada"
"Nizamoffite","Nizamoffite","USA"
"Nobleite","Nobleite","USA"
"Noelbensonite","Noelbensonite","Australia"
"Nöggerathite-(Ce)","Noggerathite-(Ce)","Germany"
"Nolanite","Nolanite","Canada"
"Nollmotzite","Nollmotzite","Germany"
"Nolzeite","Nolzeite","Canada"
"Nontronite","Nontronite","France"
"Noonkanbahite","Noonkanbahite","Germany"
"Norbergite","Norbergite","Sweden"
"Nordenskiöldine","Nordenskioldine","Norway"
"Nordgauite","Nordgauite","Germany"
"Nordite-(Ce)","Nordite-(Ce)","Russia"
"Nordite-(La)","Nordite-(La)","Russia"
"Nordstrandite","Nordstrandite","Malaysia"
"Nordströmite","Nordstromite","Sweden"
"Norilskite","Norilskite","Russia"
"Normandite","Normandite","Canada"
"Norrishite","Norrishite","Australia"
"Norsethite","Norsethite","USA"
"Northstarite","Northstarite","USA"
"Northupite","Northupite","USA"
"Nosean","Nosean","Germany"
"Nováčekite","Novacekite","Germany"
"Novákite","Novakite","Czech Republic"
"Novgorodovaite","Novgorodovaite","Kazakhstan"
"Novikovite","Novikovite","Tajikistan"
"Novodneprite","Novodneprite","Kazakhstan"
"Novograblenovite","Novograblenovite","Russia"
"Nowackiite","Nowackiite","Switzerland"
"Nsutite","Nsutite","Ghana"
"Nuffieldite","Nuffieldite","Canada"
"Nukundamite","Nukundamite","Fiji"
"Nullaginite","Nullaginite","Australia"
"Numanoite","Numanoite","Japan"
"Nuragheite","Nuragheite","Italy"
"Nuwaite","Nuwaite","Mexico (meteorite)"
"Nybøite","Nyboite","Norway"
"Nyerereite","Nyerereite","Tanzania"
"Nyholmite","Nyholmite","Australia"
"Oberthürite","Oberthurite","Canada"
"Oberwolfachite","Oberwolfachite","Germany"
"Obradovicite-KCu","Obradovicite-KCu","Chile"
"Obradovicite-NaCu","Obradovicite-NaCu","Chile"
"Obradovicite-NaNa","Obradovicite-NaNa","Chile"
"O'danielite","Odanielite","Namibia"
"Odigitriaite","Odigitriaite","Tajikistan"
"Odikhinchaite","Odikhinchaite","Russia"
"Odinite","Odinite","Guinea"
"Odintsovite","Odintsovite","Russia"
"Oenite","Oenite","Sweden"
"Offretite","Offretite","France"
"Oftedalite","Oftedalite","Norway"
"Ogdensburgite","Ogdensburgite","USA"
"Ognitite","Ognitite","Russia"
"Ohmilite","Ohmilite","Japan"
"Ojuelaite","Ojuelaite","Mexico"
"Okanoganite-(Y)","Okanoganite-(Y)","USA"
"Okayamalite","Okayamalite","Japan"
"Okenite","Okenite","Denmark (Greenland)"
"Okhotskite","Okhotskite","Japan"
"Okieite","Okieite","USA"
"Okruginite","Okruginite","Russia"
"Okruschite","Okruschite","Germany"
"Oldhamite","Oldhamite","India"
"Oldsite","Oldsite","USA"
"Olekminskite","Olekminskite","Russia"
"Olenite","Olenite","Russia"
"Olgite","Olgite","Russia"
"Olivenite","Olivenite","United Kingdom"
"Olkhonskite","Olkhonskite","Russia"
"Olmiite","Olmiite","South Africa"
"Olmsteadite","Olmsteadite","USA"
"Olsacherite","Olsacherite","Bolivia"
"Olsenite","Olsenite","Somalia (meteorite)"
"Olshanskyite","Olshanskyite","Russia"
